title	category	type
pharmacy	health	expense
upwork	freelance	income
fruits	grocery	expense
birthday money	gift	income
rent payment	rent	expense
upwork	freelance	income
clothes	shopping	expense
gift	gift	income
rice and curry	food	expense
sathosa	grocery	expense
gift	gift	income
supermarket	grocery	expense
client payment	freelance	income
boarding fee	rent	expense
shoes	shopping	expense
pharmacy	health	expense
house rent	rent	expense
asiri hospital	health	expense
bonus	salary	income
asiri hospital	health	expense
gym membership	health	expense
netflix	entertainment	expense
doctor fee	health	expense
bus ticket	transport	expense
ceb bill	utility	expense
shoes	shopping	expense
house rent	rent	expense
rent payment	rent	expense
medicine	health	expense
taxi	transport	expense
upwork	freelance	income
fiverr	freelance	income
gas station	transport	expense
uber	transport	expense
monthly pay	salary	income
upwork	freelance	income
gas station	transport	expense
arpico	grocery	expense
hemas hospital	health	expense
ceb bill	utility	expense
clinic	health	expense
water bill	utility	expense
asiri hospital	health	expense
house rent	rent	expense
mobitel	utility	expense
medicine	health	expense
house rent	rent	expense
fruits	grocery	expense
gift	gift	income
wifi	utility	expense
cinec fee	education	expense
shopping mall	shopping	expense
birthday money	gift	income
uber eats	food	expense
food city	grocery	expense
nolimit	shopping	expense
birthday money	gift	income
pizza hut	food	expense
birthday money	gift	income
boarding fee	rent	expense
asiri hospital	health	expense
medicine	health	expense
dialog reload	utility	expense
fiverr	freelance	income
shoes	shopping	expense
dress	shopping	expense
rice and curry	food	expense
restaurant	food	expense
pharmacy	health	expense
fiverr	freelance	income
house rent	rent	expense
fruits	grocery	expense
dinner	food	expense
cargills	grocery	expense
water board	utility	expense
breakfast	food	expense
restaurant	food	expense
monthly pay	salary	income
bonus	salary	income
internet bill	utility	expense
clothes	shopping	expense
gym membership	health	expense
gas station	transport	expense
pickme	transport	expense
cool planet	shopping	expense
gift	gift	income
rice and curry	food	expense
asiri hospital	health	expense
movie ticket	entertainment	expense
salary	salary	income
sathosa	grocery	expense
gym membership	health	expense
birthday money	gift	income
mobitel	utility	expense
freelance project	freelance	income
food city	grocery	expense
taxi	transport	expense
keells	grocery	expense
birthday money	gift	income
upwork	freelance	income
movie ticket	entertainment	expense
electricity bill	utility	expense
sliit fee	education	expense
rent payment	rent	expense
salary	salary	income
sliit fee	education	expense
litro gas	utility	expense
monthly pay	salary	income
doctor fee	health	expense
movie ticket	entertainment	expense
koththu	food	expense
freelance project	freelance	income
bonus	salary	income
breakfast	food	expense
cinec fee	education	expense
birthday money	gift	income
uber eats	food	expense
bus ticket	transport	expense
rent payment	rent	expense
gym membership	health	expense
coffee	food	expense
monthly pay	salary	income
hemas hospital	health	expense
youtube premium	entertainment	expense
petrol	transport	expense
monthly pay	salary	income
nolimit	shopping	expense
freelance project	freelance	income
gift	gift	income
monthly pay	salary	income
house rent	rent	expense
gift	gift	income
bonus	salary	income
nolimit	shopping	expense
hospital	health	expense
dialog reload	utility	expense
cinema	entertainment	expense
cinema	entertainment	expense
youtube premium	entertainment	expense
meat	grocery	expense
rent payment	rent	expense
movie ticket	entertainment	expense
keells	grocery	expense
cinema	entertainment	expense
nolimit	shopping	expense
sliit fee	education	expense
uber	transport	expense
uber	transport	expense
petrol	transport	expense
litro gas	utility	expense
house rent	rent	expense
client payment	freelance	income
nibm fee	education	expense
boarding fee	rent	expense
restaurant	food	expense
gas station	transport	expense
medicine	health	expense
youtube premium	entertainment	expense
clinic	health	expense
litro gas	utility	expense
birthday money	gift	income
boarding fee	rent	expense
netflix	entertainment	expense
dress	shopping	expense
uber eats	food	expense
ceypetco	transport	expense
rent payment	rent	expense
train ticket	transport	expense
pickme	transport	expense
vegetables	grocery	expense
netflix	entertainment	expense
lunch	food	expense
daraz	shopping	expense
koththu	food	expense
internet bill	utility	expense
movie ticket	entertainment	expense
bus ticket	transport	expense
keells	grocery	expense
boarding fee	rent	expense
bonus	salary	income
kfc	food	expense
house rent	rent	expense
spotify	entertainment	expense
shopping mall	shopping	expense
house rent	rent	expense
shopping mall	shopping	expense
doctor fee	health	expense
koththu	food	expense
nolimit	shopping	expense
dress	shopping	expense
arpico	grocery	expense
dress	shopping	expense
house rent	rent	expense
nsbm fee	education	expense
book	education	expense
cinec fee	education	expense
tuition	education	expense
bonus	salary	income
food city	grocery	expense
house rent	rent	expense
fiverr	freelance	income
gift	gift	income
slt	utility	expense
water board	utility	expense
bonus	salary	income
rent payment	rent	expense
house rent	rent	expense
gift	gift	income
cinec fee	education	expense
sliit fee	education	expense
upwork	freelance	income
fruits	grocery	expense
bonus	salary	income
breakfast	food	expense
asiri hospital	health	expense
upwork	freelance	income
client payment	freelance	income
meat	grocery	expense
